code;name
4111;Пассажирские перевозки - пригородные и местные пригородные рейсы, включая паромы
4121;Лимузины и такси
5200;Товары для дома
5411;Бакалейные магазины, супермаркеты
5732;Продажа электронного оборудования
5812;Места общественного питания, рестораны
5813;Бары, коктейль-бары, дискотеки, ночные клубы и таверны – места продажи алкогольных напитков
5814;Фастфуд
7230;Парикмахерские и салоны красоты
7832;Кинотеатры
